"Player","Team","VAR","ADP","Pos","Site Pos","GP","G","A","PTS","(+/-)","PIM","EV","PPG","PPA","PPP","SOG","ATOI","FOW","BLK","HIT"
"Mackie Samoskevich","Panthers","-163.89"," - ","RW","-","72","15.8","22.3","38.1","-2.3","12","11.6","4.2","8.4","12.6","147.3","15.2","0","36.6","153.1"
"Jimmy Snuggerud","Blues","-164.44"," - ","RW","-","80.4","16.4","27.4","43.9","2.7","58.3","11","5.5","5.5","11","120.8","15.6","0","38.4","65.9"
"Jiri Kulich","Sabres","-164.51"," - ","C","-","71.3","19.1","14.2","33.3","-1.3","20.7","15.3","3.8","3.2","7","172.5","16.7","324.5","46","52.4"
"Charlie Coyle","Blue Jackets","-164.82"," - ","C","-","82","18.9","24.8","43.6","0","28.8","14.3","3.6","3.2","6.8","126.1","17","513.6","58.6","105.3"
"Jordan Spence","Senators","-165.02"," - ","D","-","75.3","3.2","23.6","26.8","16.3","14.5","2.8","0.4","5","5.4","85.6","16.4","0","68.9","76.1"
"Jake Neighbours","Blues","-165.43"," - ","LW","-","78.2","22.4","17.5","39.9","-4.6","42.1","16.2","6.2","5.5","11.7","126.2","15.7","7.9","49.8","153.8"
"Jacob Trouba","Ducks","-165.78"," - ","D","-","77.3","3","16.9","19.8","-2.1","69","2.4","0.4","0.9","1.3","135.2","20.8","0","196.8","185.3"
"Tommy Novak","Penguins","-165.94"," - ","C","-","73.5","19.4","22.5","41.9","-2.2","7.6","15.2","4.2","6.5","10.7","124.3","14","185.4","34","7.9"
"Josh Doan","Sabres","-168.26"," - ","RW","-","76","16.4","21.8","38.2","1.4","11.9","12.3","4.1","2.7","6.8","151.5","14.8","54.6","28.7","71"
"Nino Niederreiter","Jets","-168.92"," - ","RW","-","78","17.9","17.5","35.4","4.6","25.9","14.4","3.5","4.2","7.7","156.1","14.9","19","36.9","136.8"
"Alex Killorn","Ducks","-169.02"," - ","LW","-","77.3","19.6","20.9","40.5","2.2","39.3","16.9","2.1","3.7","5.8","135.1","16.9","8.4","19.9","70.7"
"Dante Fabbro","Blue Jackets","-169.13"," - ","D","-","71","5.9","17.2","23.1","7.9","47.3","5.9","0","0.2","0.2","107.7","22.8","0","156.5","88.1"
"Dylan Samberg","Jets","-170.57"," - ","D","-","70.5","4.6","17","21.6","30","39.2","4.6","0","1","1","101.6","21.3","0","139.3","81.8"
"Nikita Zadorov","Bruins","-171.28"," - ","D","-","78","6.7","15.3","22","7.4","128.4","6.7","0","0.2","0.2","108.7","20.4","0","91","205"
"Evan Rodrigues","Panthers","-171.36"," - ","RW","-","78.3","13.7","20.5","34.2","3.7","34","9.8","3.9","4.5","8.4","167","15.2","90.9","23.9","99.7"
"Jake McCabe","Maple Leafs","-171.71"," - ","D","-","72.5","4.4","22.3","26.7","22.8","51.3","4","0.3","0.3","0.6","83","21.5","0","140.8","169.3"
"Braden Schneider","Rangers","-172.96"," - ","D","-","81","6.3","16.4","22.7","6.6","19.5","5.4","0","0","0","105.5","19.3","0","156.3","175.1"
"Ryan McDonagh","Lightning","-173.11"," - ","D","-","74.5","3.1","24.2","27.3","27.7","20.2","2.6","0","1.7","1.7","76.5","20.3","0","135.2","32.6"
"Gabriel Perreault","Rangers","-175.64"," - ","RW","-","72","13.8","28.7","42.5","-3.6","48.6","10.3","3.5","7.1","10.6","124.3","14.5","0","14.5","14.5"
"Max Domi","Maple Leafs","-175.82"," - ","LW","-","76.5","11","32.7","43.7","1.6","95","9.2","1.8","6.1","7.9","128.1","15.6","315.6","27.7","38.2"
"David Perron","Senators","-176.38"," - ","LW","-","75","16.1","21.3","37.4","-4.9","33.6","10.1","6","8","14","134.2","14","9.6","19.1","101.9"
"Jack Quinn","Sabres","-176.41"," - ","RW","-","74.5","16.2","24.3","40.6","-6.7","17.9","13.7","2.5","8.2","10.7","128.5","14.7","4.3","23.4","46.8"
"Ryan Pulock","Islanders","-176.9"," - ","D","-","71.3","5","17.2","22.1","3.7","14.3","3.7","1.3","2.5","3.8","99.4","21","0","145.1","106.2"
"Rasmus Sandin","Capitals","-177"," - ","D","-","73.7","4","23.2","27.2","2.7","24.9","3.5","0.5","5.3","5.8","75.4","19.3","0","103.6","89.7"
"Ross Colton","Avalanche","-178.19"," - ","C","-","75.3","17.7","18.2","35.9","-2.4","40.7","13.2","4.5","2.8","7.3","148.8","14","189.4","39.4","164.4"
"Yegor Sharangovich","Flames","-178.71"," - ","RW","-","76.5","19.4","18.3","37.7","-6.7","8.8","13.6","4.1","4.7","8.8","135.5","15.4","112.4","28.2","14.1"
"Nick Blankenburg","Predators","-178.8"," - ","D","-","73","5.7","14.7","20.5","-6.7","30.5","4.8","0.9","6.1","7","102.4","20","0","93.6","83.5"
"Tyler Myers","Canucks","-179.26"," - ","D","-","77","4.9","19.9","24.8","3.3","71.7","3.7","0","0.5","0.5","93","19.8","0","133.2","96.8"
"Arseny Gritsyuk","Devils","-179.61"," - ","RW","-","68.3","14.5","21.9","36.4","5","19.5","10.1","4.3","6.6","10.9","140","14.5","0","9.9","59.4"
"Erik Gustafsson","Red Wings","-181.11"," - ","D","-","66.3","3.9","20.8","24.7","-6.5","23.6","3.4","0.5","8.8","9.3","79.5","16.3","0","50.3","40.6"
"Jonas Brodin","Wild","-182.44"," - ","D","-","60","5.1","17.6","22.7","7.8","21","5.1","0","0.3","0.3","96.3","23","0","125.4","31.4"
"Frank Nazar","Blackhawks","-183.38"," - ","C","-","74","18.5","19.9","38.4","-5.3","33.5","14.2","2.8","4.3","7.1","132.2","17.1","251.5","51.2","42.6"
"Dylan DeMelo","Jets","-183.48"," - ","D","-","78.8","3.5","20.5","23.9","31.6","39","3.3","0","0.3","0.3","79.7","21.5","0","115.2","141.5"
"Connor Zary","Flames","-183.86"," - ","RW","-","71.7","17","20.9","37.9","0.5","21.9","15.8","1.3","7.6","8.9","130","16.1","92.4","34.6","34.6"
"Ryan Hartman","Wild","-184.11"," - ","C","-","71","14.7","18.8","33.5","-0.5","70.5","11.1","3.2","4.1","7.3","158.5","15","298.2","48.4","70.5"
"Cam York","Flyers","-184.64"," - ","D","-","74","6.1","17.7","23.8","-9.1","33.2","6.1","0","2.7","2.7","90.8","21.8","0","141.5","68.1"
"Samuel Girard","Avalanche","-184.68"," - ","D","-","68.8","3.5","20.4","23.9","3.5","12.8","3.3","0.2","2","2.2","90.2","20.2","0","103.1","65.4"
"Marcus Pettersson","Canucks","-184.98"," - ","D","-","75","3.2","23.2","26.4","11.8","43.7","3.2","0","0","0","79.7","21","0","133.3","95.1"
"Damon Severson","Blue Jackets","-185.67"," - ","D","-","74.5","6.4","18.2","24.6","0.8","41.9","6.1","0.2","1.3","1.5","82.6","17","0","72.3","39.3"
"Jamie Drysdale","Flyers","-185.94"," - ","D","-","73.1","7.7","15","22.7","-19.7","23.9","5.4","2.3","4.8","7.1","86.8","22","0","112.8","31.9"
"Alex Vlasic","Blackhawks","-186.26"," - ","D","-","79","3.1","20.6","23.8","-14.9","25","2.5","0.6","7.2","7.8","88","22.3","0","150.2","56.6"
"Brett Pesce","Devils","-186.81"," - ","D","-","73.5","3.5","15.3","18.8","2.8","29.8","2.8","0.2","0.6","0.8","114","21.9","0","126.6","27.7"
"Mikey Anderson","Kings","-187"," - ","D","-","76","4.7","17.3","21.9","19.6","27.7","4.5","0.2","0","0.2","88.9","22.4","0","109.2","132.4"
"Josh Manson","Avalanche","-187.96"," - ","D","-","66.3","4.3","17.3","21.5","3.6","61.4","3.9","0","0.6","0.6","98.5","17.9","0","88.7","163.5"
"Brayden McNabb","Knights","-188.88"," - ","D","-","78.8","3.8","16.9","20.7","28.9","34.1","3.4","0","0.3","0.3","89.2","20","0","175.4","143.8"
"Eeli Tolvanen","Kraken","-189.46"," - ","RW","-","74.5","19.4","16","35.3","-0.9","21.2","17.4","2","4.8","6.8","135","15","6.7","62.9","196.9"
"Ville Koivunen","Penguins","-189.74"," - ","RW","-","71","9.9","29.4","39.3","-2.2","35.5","7.4","2.5","7.4","9.9","132.3","18","8.8","70.6","8.8"
"Adam Pelech","Islanders","-192.25"," - ","D","-","64.3","1.5","19.5","21","4.4","33.7","1.5","0","0.5","0.5","102.4","21","0","104.9","76.1"
"Kaedan Korczak","Knights","-192.28"," - ","D","-","75.5","0.9","21.6","22.5","29.5","9.7","0.9","0","0.9","0.9","82.2","17","0","85.1","130.4"
"Jake Middleton","Wild","-192.93"," - ","D","-","73","6.8","14.5","21.3","3.4","57.8","6.8","0","0","0","90.2","20.8","0","154.7","117.9"
"Gustav Nyquist","Jets","-195.15"," - ","RW","-","78","14.2","26.7","40.9","-5.4","12.8","10.6","2.5","6.5","9","113.4","15.8","12.2","30.7","38.6"
"Niko Mikkola","Panthers","-195.46"," - ","D","-","79.7","4.3","13.9","18.2","11","70","4.3","0","0","0","102.5","20.1","0","105.4","164.8"
"J.J. Moser","Lightning","-197"," - ","D","-","77.5","4.2","18.5","22.7","14.4","30.9","3.1","0.6","3.1","3.7","70.9","18.8","0","101.2","68.4"
"Reilly Smith","Knights","-197.27"," - ","RW","-","77.7","13.5","24.1","37.6","3.5","18.1","9.8","2.1","4.3","6.4","128.1","14","3.8","29.6","47.4"
"Bobby Brink","Flyers","-197.75"," - ","RW","-","74.5","14","27.6","41.6","-3.7","20.6","11.1","2.9","2.5","5.4","114.9","16.4","14.1","33.3","87"
"Kaiden Guhle","Canadiens","-198.05"," - ","D","-","69.4","6.5","15.6","22.1","-3.4","53","6.5","0","0","0","85.4","20","0","149.7","119.4"
"Timothy Liljegren","Sharks","-199.01"," - ","D","-","65.7","5.2","14.6","19.9","-7.5","30.7","4","1","3.6","4.6","89.5","19.3","0","112.2","84"
"Kaapo Kakko","Kraken","-199.97"," - ","RW","-","74","15.7","22.7","38.4","1.7","30.6","13.2","2.5","2.8","5.3","120.1","16.2","32","25.8","51.2"
"Cody Ceci","Kings","-199.99"," - ","D","-","79.8","3.6","17.8","21.3","8.3","19.5","3.6","0","0","0","86.3","20","0","120.8","86.1"
"Kiefer Sherwood","Canucks","-200.49"," - ","RW","-","73.3","16.3","19.9","36.3","3.3","42.2","15.5","0.2","1.4","1.6","135.3","14.8","20.9","29","378.5"
"Jonathan Toews","Jets","-201.06"," - ","C","-","71.4","15.2","22.7","38","4.8","57.9","8.5","6.2","3.6","9.8","110.5","15.1","678.9","24","21.8"
"Nick Perbix","Predators","-201.49"," - ","D","-","73.3","4.9","17.5","22.4","9.2","18.5","4.9","0","0","0","76.8","17","0","78.4","68.7"
"Will Borgen","Rangers","-205.26"," - ","D","-","82","4.2","16","20.2","-1.7","52.4","3.7","0","0","0","90","18.3","0","115.3","169"
"Jonathan Drouin","Islanders","-206.94"," - ","LW","-","60","12.2","30.3","42.5","1.3","15.5","9","3.2","10.8","14","82.8","17.1","50.1","19.7","25.9"
"Ryker Evans","Kraken","-207.12"," - ","D","-","74.4","4.3","18.5","22.8","-5.9","33.1","3.5","0.8","4.1","4.9","67.6","19.3","0","99.9","125.4"
"Joel Farabee","Flames","-207.78"," - ","LW","-","81.7","14","18.7","32.7","-5.9","33.4","13.4","0.6","3.6","4.2","147.2","14.4","19.8","44.2","74.8"
"Rutger McGroarty","Penguins","-207.91"," - ","RW","-","76.1","12.5","21.8","34.3","-2.2","47","10","2.5","3.6","6.1","137","17","0","44.7","107.2"
"Rasmus Ristolainen","Flyers","-208.38"," - ","D","-","62","3.4","13.7","17.2","-1.4","18.3","3","0.2","2.6","2.8","95.7","20.5","0","100.5","114"
"Justin Barron","Predators","-208.59"," - ","D","-","71","8.3","10.3","18.6","-14.4","28.2","7.4","0.7","0.9","1.6","87.8","18.5","0","92.8","94.7"
"Nick Jensen","Senators","-208.64"," - ","D","-","75.5","2.8","17.9","20.7","6.1","9.7","2.8","0","0","0","82.8","20.3","0","110.8","67.7"
"Shakir Mukhamadullin","Sharks","-209.49"," - ","D","-","71.9","4.9","14.6","19.5","-8.5","82.8","4.9","0","2.4","2.4","85.3","20.5","0","151","73.1"
"James van Riemsdyk","Red Wings","-209.77"," - ","LW","-","71.3","14.5","23.1","37.6","-1.4","24.4","11.6","3","3","6","115.6","13.7","7.9","19.2","31.5"
"Ben Chiarot","Red Wings","-209.88"," - ","D","-","77","4.4","11.5","15.8","-6.7","59.7","4.4","0","0.5","0.5","105.2","20.5","0","146.9","137.7"
"John Marino","Utah","-210.14"," - ","D","-","73.3","3.4","21.7","25.2","3.3","24.4","3.4","0","0","0","61.8","21","0","73.5","34.4"
"Denton Mateychuk","Blue Jackets","-210.91"," - ","D","-","72","5.4","16.5","21.9","6.4","32.1","5.4","0","0","0","69","18.1","0","101.2","41.7"
"Ryan McLeod","Sabres","-211.17"," - ","C","-","72","16.3","25.1","41.4","5.4","14.8","14.3","0","1.4","1.4","99.6","16.8","497","32.1","37.5"
"Yegor Chinakhov","Blue Jackets","-212.48"," - ","RW","-","63","16","16.8","32.8","-4.3","9.8","13.4","2.6","3.4","6","132.2","15.4","0.9","28.6","72.2"
"Noah Cates","Flyers","-213.5"," - ","C","-","79","14.6","22.5","37.1","-0.3","10.9","13.2","1.2","2.3","3.5","118.4","17.3","439.7","57.6","90.2"
"Ridly Greig","Senators","-213.82"," - ","C","-","75","14.1","20.4","34.6","-1.4","68.4","9.7","2.7","4.5","7.2","123.1","18","224.2","47.7","149.1"
"Nick Seeler","Flyers","-214.47"," - ","D","-","75","2.6","14.6","17.2","8.3","54.8","2.6","0","0","0","91.1","17.3","0","198.6","131.8"
"Radko Gudas","Ducks","-214.56"," - ","D","-","74","2.8","14.2","17","4.6","99.3","2.8","0","0","0","93.5","19.7","0","159","262.3"
"Jordan Martinook","Hurricanes","-214.73"," - ","LW","-","81","14.4","20.2","34.7","4.5","31.8","13.9","0","0","0","133.7","15.2","39","42.4","76.8"
"Artyom Levshunov","Blackhawks","-214.93"," - ","D","-","70","2.1","19.4","21.6","-25.3","31.1","1.7","0.4","3.9","4.3","81.7","20.3","0","77.8","73.9"
"Brendan Gallagher","Canadiens","-215.18"," - ","RW","-","71.7","16.8","14.2","31","-5.7","47.5","14.1","2.8","2.3","5.1","138.2","13.9","5.5","31.9","68"
"Adam Gaudette","Sharks","-215.71"," - ","C","-","78","17","12.3","29.3","-4.8","11.6","12.7","4.3","0.9","5.2","144","15.3","191.1","35.6","101.3"
"Alexandre Carrier","Canadiens","-215.85"," - ","D","-","76.3","3.2","17.9","21.1","-2.8","40.1","2.9","0","0.3","0.3","76.4","18.8","0","142.6","68.9"
"Andre Burakovsky","Blackhawks","-216.11"," - ","LW","-","69.3","10.9","23.9","34.7","-4.5","14.7","8.2","2.6","8","10.6","120.5","15.4","2.8","23","26.9"
"Victor Olofsson","Avalanche","-216.77"," - ","LW","-","63.5","17.3","13.7","30.9","5.3","11.7","11.9","5.3","3","8.3","122.1","14.5","0.8","17.6","26.8"
"Ryan Strome","Ducks","-216.91"," - ","C","-","79.3","10.1","26.7","36.8","-6","68.8","9.3","0.7","6.9","7.6","120","15.1","358.2","25.5","46.3"
"Jack Thompson","Sharks","-216.94"," - ","D","-","66.8","4.4","11.8","16.2","-10.8","19.6","3.3","1.1","3.9","5","88.3","15.8","0","111.8","31.4"
"Martin Fehervary","Capitals","-218.48"," - ","D","-","73.3","4.4","15.6","20","4.7","25.2","4.4","0","0","0","72.2","19","0","126.3","164.4"
"Simon Holmstrom","Islanders","-218.87"," - ","RW","-","75","19.1","19.6","38.7","1.5","10.2","15.4","1.2","2.4","3.6","94.1","16.9","2.9","55.4","25.5"
"Nate Schmidt","Utah","-218.97"," - ","D","-","72.8","4.3","12.8","17.2","3.9","21.3","3.5","0.8","3.3","4.1","76.1","16.8","0","72.8","69.2"
"Simon Nemec","Devils","-220.66"," - ","D","-","72.2","3.9","15.3","19.2","-7","34.9","3.9","0","3.8","3.8","72.5","16.1","0","93.5","16.3"
"Kevin Bahl","Flames","-221.1"," - ","D","-","77.5","2.7","15.9","18.6","-2.4","62.1","2.1","0.6","0","0.6","81.9","21.5","0","114.4","141.8"
"Pius Suter","Blues","-221.3"," - ","C","-","77.3","16","17.1","33.1","3","15.2","13.9","1.3","2.5","3.8","121.9","16","285","35.4","53.9"
"Andrew Mangiapane","Oilers","-221.64"," - ","LW","-","80","14.5","20","34.5","2.2","31","12.7","1","2.7","3.7","119.3","14.5","5","29.7","81"
"Anthony Mantha","Penguins","-221.88"," - ","RW","-","65.7","17.9","17.5","35.4","4","30.1","14.5","2.6","2.8","5.4","102.7","14.4","6.4","27.6","58.9"
"Jean-Gabriel Pageau","Islanders","-221.97"," - ","C","-","77","12.4","25","37.5","-0.4","17.6","9","2.1","2.3","4.4","110.6","16.5","619.6","61.8","158.7"
"Joel Edmundson","Kings","-222.66"," - ","D","-","69.2","4.2","12","16.2","7.5","32.7","4.2","0","0.6","0.6","82","20.5","0","111","109.2"
"Conor Timmins","Sabres","-223.62"," - ","D","-","68","3.2","16.1","19.3","6","32.4","3.2","0","2","2","67.1","16.7","0","83.3","62.1"
"Pavel Mintyukov","Ducks","-223.84"," - ","D","-","68","4","15.7","19.7","-9.2","18.8","4","0","4","4","67.3","15.3","0","70.4","71.8"
"Trevor van Riemsdyk","Capitals","-223.98"," - ","D","-","74.8","1.7","16.5","18.1","9.1","24.1","1.7","0","0.2","0.2","77.2","17.8","0","127.7","15"
"Drew Helleson","Ducks","-224.08"," - ","D","-","69.7","4.1","11.6","15.7","3.9","57.9","4.1","0","0","0","86.2","17.7","0","97.8","129.9"
"Erik Gudbranson","Blue Jackets","-224.94"," - ","D","-","75.2","3.1","15.7","18.8","-6.2","54.8","3.1","0","0","0","79.3","17.8","0","126.7","93.9"
"Matej Blumel","Bruins","-225.34"," - ","RW","-","74.8","15.6","15.1","30.7","-6.6","29","13.2","2.4","2.3","4.7","132.3","13.8","0","26.5","114.7"
"Ryan Lindgren","Kraken","-226.12"," - ","D","-","72.3","3.1","16.1","19.2","12","38.6","2.9","0","0","0","66.1","18.8","0","108.5","86.5"
"Connor Clifton","Penguins","-226.62"," - ","D","-","76.7","2.7","15.6","18.3","4.5","55.7","2.6","0","0","0","74.6","16.8","0","116.6","212.4"
"Brandon Saad","Knights","-226.64"," - ","LW","-","75.8","16.8","15.5","32.3","-3.1","10.6","14.6","1.8","1.7","3.5","121.8","14","7.4","18.7","14.5"
"Brian Dumoulin","Kings","-226.76"," - ","D","-","79.5","3.4","15.9","19.2","8","15.2","3.4","0","0","0","66.5","17.9","0","96.4","76.6"
"Andrew Peeke","Bruins","-226.84"," - ","D","-","79.3","2.4","15","17.4","-5","19.7","1.7","0","0","0","84.3","18.9","0","147.9","140"
"J.T. Compher","Red Wings","-227.41"," - ","C","-","76.3","13","23.2","36.2","-1.6","25.6","8","4.4","4.6","9","99","16.5","465.7","57.1","33.3"
"Nicolas Roy","Maple Leafs","-228.48"," - ","C","-","71","14.3","20.1","34.4","2.4","35.5","12.1","1.9","3.5","5.4","108.7","15.3","371.3","41.8","75.9"
"Ilya Mikheyev","Blackhawks","-228.72"," - ","RW","-","70.3","15.6","15.8","31.4","1.4","9.5","13.9","0.2","0.4","0.6","130.1","15.7","3.4","15.8","34.7"
"Yanni Gourde","Lightning","-229.94"," - ","C","-","73","9.8","25.9","35.8","7","61.4","8.4","0.6","1.4","2","116.3","16.3","398.6","44.8","129.6"
"Jamie Oleksiak","Kraken","-230.7"," - ","D","-","77.8","4","12.7","16.7","0.7","37.6","4","0","0","0","76.4","18.7","0","145.2","88.3"
"Evgenii Dadonov","Devils","-230.93"," - ","RW","-","70.5","15.5","18.7","34.3","-1.5","11.1","12.6","2.9","2.8","5.7","105.7","13.9","0.4","33.9","40.3"
"Nic Hague","Predators","-230.97"," - ","D","-","74","3.8","9.6","13.5","-2.7","44.9","3.8","0","0","0","93.1","18","0","97.8","115.5"
"Anthony Duclair","Islanders","-231.06"," - ","LW","-","71","18","12.5","30.5","-7.8","25.5","13","4.9","3.7","8.6","113.5","15.6","9","34.4","45.5"
"Matthew Wood","Predators","-231.39"," - ","RW","-","80.5","12.8","18.3","31.1","0","26.8","10.2","2.6","3.7","6.3","122.8","13.3","15.3","30.7","30.7"
"Adam Henrique","Oilers","-231.55"," - ","C","-","75","15.7","16.9","32.6","1.1","21.2","11.7","3","4.2","7.2","106.9","14.7","468.9","66.4","58.5"
"Olli Maatta","Utah","-231.64"," - ","D","-","73.3","3.4","15.6","19","6.4","15.1","3.4","0","0","0","63.3","19","0","113","43.7"
"Vladislav Namestnikov","Jets","-232.16"," - ","C","-","77","10.6","25.2","35.8","8.3","37.6","8.1","2.2","5.6","7.8","98","14.8","254.8","41.9","92"
"Artem Zub","Senators","-232.37"," - ","D","-","64.8","3.4","14.3","17.7","3.8","37.3","3.1","0","0.5","0.5","68.6","20.8","0","118.6","105"
"Brenden Dillon","Devils","-233.42"," - ","D","-","80","3.8","14.2","18.1","10.5","71.5","3.8","0","0","0","62.6","18.4","0","104","201.4"
"Elmer Soderblom","Red Wings","-233.75"," - ","LW","-","71.2","15","18.3","33.3","2","23.2","15","0","0","0","118.4","14.8","9.4","38.1","115.8"
"Mario Ferraro","Sharks","-234.39"," - ","D","-","76","4.1","12.6","16.7","-29.3","41","4.1","0","0.2","0.2","88.3","21.5","0","126.7","133.2"
"Nick Foligno","Blackhawks","-234.48"," - ","LW","-","76","14.3","18.7","33","-7.1","48.8","9.2","3.8","4","7.8","108.2","15","243.1","33.3","181.3"
"Nils Lundkvist","Stars","-235.42"," - ","D","-","60","2.1","11.9","14","6.4","24.2","1.9","0.2","1.2","1.4","81.1","15","0","49.1","42.5"
"Brandon Carlo","Maple Leafs","-235.89"," - ","D","-","78.3","2.3","10.9","13.2","18.1","38.4","2.3","0","0","0","80.3","19.3","0","140.1","111.6"
"Jeff Petry","Panthers","-235.94"," - ","D","-","67.3","2.4","15","17.4","4","25","2","0.4","1.8","2.2","64.3","16.5","0","99","108.7"
"Wyatt Kaiser","Blackhawks","-236.63"," - ","D","-","74","4.1","9.7","13.7","-1.5","29.9","4.1","0","0","0","83.7","19.8","0","127.4","69.8"
"Erik Cernak","Lightning","-237.42"," - ","D","-","71.7","2.4","14.5","16.9","16.9","50.9","2.2","0","0","0","62.6","18.3","0","83.4","172.1"
"Dmitry Kulikov","Panthers","-237.47"," - ","D","-","73.3","2.8","12.9","15.7","8.4","41.9","2.8","0","0.5","0.5","70.6","17.8","0","79.2","120.3"
"Chris Tanev","Maple Leafs","-238.92"," - ","D","-","74.3","2.3","15.3","17.6","24.1","23.8","2.3","0","0.2","0.2","53.6","19.8","0","185","34"
"Jani Nyman","Kraken","-239.86"," - ","RW","-","70","11.7","15.4","27.1","-4.4","23.3","7.8","3.9","5.8","9.7","128.5","14","5.8","40.9","75.9"
"Zach Benson","Sabres","-241.65"," - ","LW","-","73.5","11.5","19.9","31.4","-1.3","54.2","9.6","2","1.5","3.5","119.9","15.9","4.8","34","37.8"
"Philip Tomasino","Penguins","-242.26"," - ","RW","-","67.3","12","18.1","30.1","-4.2","13.7","8.9","3.1","5.8","8.9","113.5","13.5","7.3","27.3","56.6"
"Zach Whitecloud","Knights","-242.96"," - ","D","-","74","3.9","10.6","14.5","4.8","39.9","3.9","0","0","0","70.5","17.5","0","110.9","127.5"
"Liam Ohgren","Wild","-243.13"," - ","LW","-","74","12.9","16.8","29.7","-9.5","6.3","12.9","0","4.2","4.2","125.7","13.8","0","37.7","84.8"
"Erik Haula","Predators","-243.22"," - ","C","-","75.6","12.6","15.3","27.9","-0.5","43.4","10.4","1.6","2.9","4.5","128.6","14.7","430.8","33.2","93.3"
"Sam Colangelo","Ducks","-243.38"," - ","RW","-","72","15.6","14.9","30.5","-2.2","4.6","11.3","2.8","3.7","6.5","106.7","13.5","8.9","6.7","40"
"Egor Zamula","Flyers","-244.06"," - ","D","-","67.9","3.9","14.8","18.7","-7.6","17.1","3.1","0.8","2.8","3.6","49.5","16.5","0","91","31.9"
"Carson Soucy","Rangers","-244.53"," - ","D","-","72.3","3.7","9.4","13.1","1.1","45.2","3.3","0.4","0.4","0.8","75.7","18","0","104.4","119.3"
"Urho Vaakanainen","Rangers","-244.67"," - ","D","-","68","1.8","15.4","17.1","1.5","23.1","1.8","0","0","0","63.1","17","0","73.1","40.5"
"Ty Emberson","Oilers","-244.87"," - ","D","-","76","2.2","14.2","16.4","-6.4","18.2","2.2","0","0.6","0.6","68.6","16.6","0","105.9","154.6"
"Lian Bichsel","Stars","-245.2"," - ","D","-","75.2","4.2","8.9","13.1","1.5","102","4.2","0","0","0","75.4","15.3","0","47.3","340"
"Jesperi Kotkaniemi","Hurricanes","-246.35"," - ","C","-","76.3","12.3","18.6","30.9","2.4","42.8","11.3","0.8","2.1","2.9","114.4","13.5","333.7","26.7","65.7"
"Nils Hoglander","Canucks","-246.88"," - ","LW","-","74","15.2","16.7","32","5.7","36.4","15.2","0","0.6","0.6","106.2","13.5","0.2","23.5","90.8"
"Alex Wennberg","Sharks","-246.99"," - ","C","-","79.5","10.8","24.1","34.9","-6","15.5","7.2","3.3","5.5","8.8","90.8","18.9","559.1","76.8","38.5"
"Henri Jokiharju","Bruins","-247.08"," - ","D","-","63.5","3","10.8","13.9","4.5","20.3","3","0","0","0","71.2","19.3","0","70.4","65.9"
"Jordan Staal","Hurricanes","-247.6"," - ","C","-","76","12.3","20.3","32.6","2.1","26.9","10.9","0","0.3","0.3","111.4","15.4","740.5","39.4","137.2"
"Tyler Tucker","Blues","-248.09"," - ","D","-","74.4","5.4","7.7","13.1","1.9","125.3","5.4","0","0","0","69.3","16.3","0","88.4","188.4"
"Zach Bogosian","Wild","-248.12"," - ","D","-","70.3","3.1","10.1","13.3","-0.2","48.8","3.1","0","0","0","75.1","16","0.2","67.9","95"
"Scott Laughton","Maple Leafs","-248.17"," - ","C","-","76.8","11.5","18","29.5","1.9","38.9","9.1","1","1.7","2.7","121.1","13.5","306.7","44.3","137.7"
"Johnathan Kovacevic","Devils","-248.17"," - ","D","-","62.3","2.8","11.7","14.4","8.5","53.1","2.8","0","0","0","65.1","20.7","0","84","85.3"
"Alex Kerfoot","Utah","-248.42"," - ","LW","-","82","11.1","21.9","33","-2.8","20","8.4","1","3.8","4.8","104.1","15.2","263.9","63","60"
"Alex Newhook","Canadiens","-248.69"," - ","C","-","72.5","15.2","14.8","30","-7.2","22.3","13.8","1.4","3.7","5.1","109.8","15.9","236.1","30.8","68.5"
"Ian Cole","Utah","-250.59"," - ","D","-","78.3","1.6","12.7","14.3","4.3","65.3","1.6","0","0","0","68.3","19","0","154.3","95.3"
"Luke Schenn","Jets","-252.86"," - ","D","-","68.8","1.7","8.8","10.4","-0.3","55.3","1.7","0","0","0","85","17.5","0","98.6","292.5"
"Daniil Gushchin","Avalanche","-253.45"," - ","F","-","74.8","12.5","14.4","26.9","-4.2","8.3","Invalid Number","3.1","4.8","7.9","116.4","13.2","4.2","33.2","12.5"
"Lawson Crouse","Utah","-253.57"," - ","LW","-","76","14.9","10.9","25.8","-2","31.5","11.7","3.2","1.1","4.3","122.6","13.8","20.6","42.7","158.2"
"Cole Sillinger","Blue Jackets","-254.51"," - ","C","-","71.5","10","18.1","28.1","-5.3","35.4","7.8","1.6","0.7","2.3","128.5","15.2","341.4","46.9","91.3"
"Nikita Nesterenko","Ducks","-256.8"," - ","C","-","73","13.7","14.8","28.5","-4","7.3","12.3","1.4","1.5","2.9","113.9","11.3","0","18.2","134.4"
"Jeremy Lauzon","Knights","-257.23"," - ","D","-","70.7","3.4","6.5","10","-6.9","86.1","3.4","0","0","0","82.7","18.3","0","89.8","320.7"
"Jonas Siegenthaler","Devils","-257.98"," - ","D","-","65.5","2.2","9.9","12.1","7.7","39.2","2","0.2","0","0.2","66.2","19.5","0","84.6","89.7"
