"Player","Team","VAR","ADP","Pos","Site Pos","GP","G","A","PTS","(+/-)","PIM","EV","PPG","PPA","PPP","SOG","ATOI","FOW","BLK","HIT"
"Brayden Point","Lightning","155"," - ","C","-","76.5","42.9","40.2","83.1","1.8","8.8","27.3","15.7","14.1","29.8","200.9","19.5","367.4","35.7","23.7"
"Clayton Keller","Utah","147.19"," - ","RW","-","77","31.6","51.6","83.2","-6.3","32.4","22.6","8.8","22.3","31.1","218.5","19.9","18.2","29.2","14.8"
"Mitch Marner","Knights","143.95"," - ","RW","-","75.5","26.7","67.4","94.1","9.3","17.4","18.1","7","24","31","168.9","21.3","6.2","42.8","51.9"
"Matt Boldy","Wild","140.66"," - ","LW","-","79.3","31.1","43","74.1","1.2","49.5","22.7","8.4","16.1","24.5","263.3","20.3","56.6","50.6","49.4"
"Tage Thompson","Sabres","139.82"," - ","RW","-","75.8","40.7","31.9","72.6","-0.3","39.2","29.7","10.2","9.5","19.7","259.2","18.8","340.9","29.8","71.9"
"Jesper Bratt","Devils","139.71"," - ","RW","-","80.3","25.4","60","85.4","1.6","14.2","18.6","5.8","24.4","30.2","211.8","19.5","2.6","32.9","75"
"Jake Guentzel","Lightning","137.36"," - ","LW","-","75.3","36.4","41.1","77.5","8.6","27.2","23.9","12","13.1","25.1","227.3","20","91.5","42.4","44.1"
"Josh Morrissey","Jets","131.31"," - ","D","-","79.5","13","53.3","66.3","19.6","32.2","10.5","2.5","19.5","22","178.8","24.3","0","106.6","68.8"
"Cole Caufield","Canadiens","127.1"," - ","RW","-","79.6","35.5","33.3","68.8","0.8","13.8","25.4","10.1","8.7","18.8","274.9","19.4","5.8","27.3","59.3"
"Victor Hedman","Lightning","125.09"," - ","D","-","78.8","13","51.8","64.8","16.2","45.9","9.4","3.4","21.5","24.9","174","23.1","0","100.8","56.2"
"Adam Fox","Rangers","121.89"," - ","D","-","76.5","13.1","56.6","69.7","17","35.1","9.6","2.7","23.1","25.8","146","24","0","116.9","40.2"
"Dylan Guenther","Utah","121.89"," - ","RW","-","76.7","32.9","37","70","-2.8","30.3","16.9","15.5","15.9","31.4","244","18.6","11.4","47.3","62.9"
"Matvei Michkov","Flyers","116.99"," - ","RW","-","80","32.5","41","73.5","-5","46","22.5","10","10","20","250","18.5","21.1","25.5","32.2"
"Adrian Kempe","Kings","116.59"," - ","RW","-","79.5","33.7","38.6","72.3","9.5","50.8","24.7","7.1","14.1","21.2","241.5","19.1","9.3","29.6","106.4"
"Nazem Kadri","Flames","116.58"," - ","C","-","79.3","31.1","36.5","67.7","-6","59.9","21.5","9.7","11.8","21.5","276.1","19.4","635.4","27.8","63.7"
"Sebastian Aho","Hurricanes","109.71"," - ","C","-","77.8","32.3","44.7","77","7.9","41.8","22.7","7.2","17","24.2","210.3","19.8","605.3","23.6","55.1"
"Alex DeBrincat","Red Wings","109.44"," - ","RW","-","82","34.4","34.9","69.4","-5.8","33.1","21.9","12.5","13.8","26.3","242.5","17.9","19.7","36.5","56.6"
"Brandon Hagel","Lightning","107.76"," - ","LW","-","80.5","32.4","50.6","83","10.8","65.7","28.7","2","8.4","10.4","210.3","20.8","16.6","47","60.9"
"Martin Necas","Avalanche","106.82"," - ","RW","-","79","27.4","47","74.4","0.3","28.4","16.8","10.6","17.9","28.5","224.2","19.2","77.7","25.9","68.8"
"John Tavares","Maple Leafs","100.18"," - ","C","-","78.5","31.8","37.7","69.6","2.2","39","20.7","11.1","11.4","22.5","241.1","17.9","774.6","40.6","109.4"
"Nick Suzuki","Canadiens","95.61"," - ","C","-","82","30.5","51.2","81.7","1.4","21.6","21.8","7.2","19.5","26.7","175.8","20.8","685.4","59.7","63.1"
"Dylan Larkin","Red Wings","92.87"," - ","C","-","75.3","30.7","39.2","69.9","-3.8","39.8","16.3","13.6","13.3","26.9","227.2","20.1","782","30.7","43.7"
"Kevin Fiala","Kings","88.25"," - ","LW","-","78.5","31.2","35.7","66.9","-1.4","48.6","19.3","11.9","14.8","26.7","233.4","18.5","12.2","20.7","63"
"Shea Theodore","Knights","88.13"," - ","D","-","71.9","8.4","55.2","63.7","17","23.5","5.9","2.6","18","20.6","157.6","23","0","103.3","11.3"
"Macklin Celebrini","Sharks","87.43"," - ","C","-","70.4","26.6","40.9","67.5","-8","29.7","18.1","8.5","15.1","23.6","250.6","20.9","538.5","56.2","39.2"
"Jordan Kyrou","Blues","81.23"," - ","RW","-","79.3","33.2","33.6","66.7","0.4","20.1","25.5","7.7","10.9","18.6","238.6","17.6","4.2","31.9","34.4"
"Tim Stützle","Senators","76.76"," - ","C","-","78.5","24.8","53.3","78","-3","41.6","19.6","4.6","23.3","27.9","183.3","20.6","210.1","43.7","116.4"
"Alex Ovechkin","Capitals","74.08"," - ","LW","-","73.5","33.1","27.7","60.8","-1.2","21.6","21.7","11.5","9.5","21","253.1","17.7","0.7","18.2","138.6"
"Dougie Hamilton","Devils","73.76"," - ","D","-","69.3","12.8","36.1","48.8","7.1","38.6","6.1","6.6","12.6","19.2","205.8","20","0","66.5","67.7"
"J.T. Miller","Rangers","73.18"," - ","C","-","78.5","25.4","53.8","79.1","3","56.5","17.2","6.8","21.4","28.2","169.1","18.5","660.6","53","188.5"
"Mika Zibanejad","Rangers","71.25"," - ","C","-","81.5","26","44","70","-0.9","24.8","13.9","11.2","15.1","26.3","212.9","19.9","589.8","48.9","51.8"
"Mark Scheifele","Jets","66.74"," - ","C","-","76","33.9","42.3","76.1","4.4","54.6","24.6","9.3","12.2","21.5","170.5","20.5","590.2","47.3","63.5"
"Pavel Dorofeyev","Knights","66.33"," - ","LW","-","81.4","36.6","20.4","57","3.5","31.2","25.7","11","4.1","15.1","264.1","17.8","3.4","42.8","31.8"
"Nico Hischier","Devils","65.17"," - ","C","-","74.3","31.6","38.5","70","4.4","15.6","20.6","10.1","13.1","23.2","197.2","20","901.3","44.9","41.5"
